Summary,Document
Provide an information about how many lines does the patch change using regular expressions which could be useful for everyone using the apply patch wizard ,"Inspired by Martin Oberhuber's mail about his \""lsc\"" script for counting lines in a patch[1], I though that it maybe be worthwhile to embed such thing in the Apply Patch wizard itself. imo using regexp should be enough here, especially due to the fact that we don't want to make any additional dependencies. So, my proposal is to allow to specify a regexp rule for lines that should be count as a \""real contribution\"". This is what first came to my head: /-\\\\+? (\\s*\\S+\\s*)+$ which means \""Count only lines starting with single '+' and a space. The line must also have at least one non-whitespace character\"". I think this is more/less what Martin's script does. All lines that match the above pattern would be sum up and the info would be displayed somewhere on the Apply Patch wizard. How does it sound? Martin? Again, I think it's a brilliant idea Martin. [1] sent to eclipse.org-committers  The info could be also shown in a patch outline view (see bug 190418).     Excellent idea! Having the line counter right in the apply patch wizard would finally give us a standard way of counting lines that everybody could use easily. My script also ignores \""empty comment\"" lines of the form /-\\\\+\\s+[#*]+\\s+$ And actually, if the wizard counts added lines, why shouldn't it also count removed lines? Giving two separate numbers e.g. Created an attachment (id=94358) [details] Patch Fix that matches all lines from a patch against given regexps (one for added lines and one for removed). Patterns can be changed on General &gt; Compare/Patch pref page. I decided to leave them blank by default, so I don't need to worry about different diff output formats which are out there. However, you can easily set it to a value most convenient to you (i.e. '/-\\\\+\\s+\\S'). Created an attachment (id=94360) [details] mylyn/context/zip     (In reply to comment #4) &gt; I decided to leave them blank by default, so I don't need to worry So this means it won't work out of the box? But then, the compare/patch feature already needs to analyze patches or it cannot apply them, right? So I don't quite understand why the same patterns that compare/patch already uses aren't the default for the line counting feature.   (In reply to comment #6) &gt; So this means it won't work out of the box? &gt; But then, the compare/patch feature already needs to analyze patches or it cannot apply them, right? &gt; So I don't &gt; quite understand why the same patterns that compare/patch already uses aren't the default for the line counting feature. I guess you're right Martin, but this will make the patch a little bit more complicated as the current patching mechanism is not very helpful in counting added/removed lines. I'll just need some extra time to do this.    Created an attachment (id=96838) [details] Patch 2   Created an attachment (id=96839) [details] The latest patch ensures, that when no regular expressions is provided, the patcher will use internal patterns to distinguish which lines have been added or deleted. However, this will work only for patches in unified and context diff output format. As reported in bug 227742, it appears that standard patch format is no longer supported (or it has never been). Moreover, I logged bug 228000 to make sure we add some automated tests to cover this newly added feature.  Created an attachment (id=96993) [details] The latest patch applied to CVS HEAD. Martin, would you like to try it out and let me know what do you think? Feel free to open a new bug if there is something I missed.  I tested this with I20080422-0800, on the attached patch from bug 227572 attachment 97084 [details]. Your dialog counts 207 added and 29 removed lines, but my script only counts 151 added lines. It looks like you are also counting empty lines, which doesn't seem overly useful to me.       mylyn/context/zip Patch 3 Previous patch with some minor adjustments.      Created an attachment (id=97398) [details] The preference page The \""internal\"" mechanism of counting added/removed lines is very simple, it sums up all lines with '+' and '-'. If you want to use your own patterns/script please take a look at the General &gt; Compare/Patch pref page. I've added there two fields where you can customize the way this simple mechanism works.   It's awsome that this is customizeable, but when I remember right, one reason for putting this enhancement into Eclipse SDK was such that there is a \""common standard\"" by which the projects count their lines in a patch. I think that this \""common standard\"" should be as good as possible by default. On the other hand, having some magic like removing empty lines from the count going on in the background is perhaps a problem... Martin, I see your point when you're saying that the \""common standard\"" should be as good as possible, however I would rather not to filter any lines from a patch when parsing. Here are the approaches so far: 1) Use only given filters, by default no counting will be made. This is how the patch from comment 4 worked. Rejected. 2) By default count lines using the simple patterns, which are currently used when parsing a patch (ie \""+\"" and \""-\""), this can be modified in the pref page. Patch in comment 13. In HEAD. 3) By default count lines using more sophisticated patterns like excluding empty lines. And again, this can be modified in the pref page. Verified in I20080429-0100. FYI, following regex suppresses lines in the patch from counting, which are empty or only contain non-wordchars (i.e. lines which only contain an } or only contain a * as continuation of an empty Javadoc comment: Added:     /-\\\\+[/-\\+]+[a-zA-Z0-9_!?\""|@~`$%&()+;,.:&lt;&gt;=+-]                10 lines added  20 lines removed This sounds familiar to me since I've seen similar numbers in RCS files before. I'd guess that the regex for removed lines could just be the same as for added lines but the + replaced by a -; and, files removed entirely should contribute the entire number of lines they had before (I believe that the old contents is not recorded in the diff, is it?)      but that's really neglectible and I'm fine with your approach of counting any non-empty added line in the patch. Actually, couldn't your regex even be simpler, say /-\\\\+\\s+\\S since you don't need to check till the end of the line? would it be possible to keep your current count (\""211 added / 53 removed lines\"") but add an additional count without empty lines e.g. Note that I'm only talking about empty lines here, e.g. Regex \""/-\\\\\\s*$\"". I agree that we cannot count empty comments here by default, because comment styles differ by language. Actually, it might be a good idea to have one additional kind of Regex pattern in the Preferences, which acts as a filter -- suggested tooltip behind //: Added Lines:    /-\\+ Removed Lines:  /-\\- Filter:         /-\\[+-]\\s*$     //Filter for lines to not count, e.g. empty lines providing an output such as   \""Patch contains 207 added and 29 removed lines (151 / 27 filtered)\"" If I understood you correctly this is what you meant in comment 15. My main concern here is: what if I would like to know total number of lines added in the patch (the filter idea looks to be an answer here but it's a pref value, it's not embedded in the parser itself, right?) 4) By default count lines using both simple and sophisticated patterns at the same time. The output would be something like this \""Patch contains X added and Y removed lines + Z added lines which are empty\"". Again, the user could provide his own patterns... which makes the whole mechanism overblown and not as intuitive as I would like it to be. Regarding the filter idea: it sounds good to me, but I think we should move the discussion about it to a separate bug. Would you mind opening one? btw, thanks for your feedback Martin. Martin are you willing to open new bugs to address your concerns? Removed:   /-\\-[/-\\-]+[a-zA-Z0-9_!?\""|@~`$%&()+;,.:&lt;&gt;=+-]                                                                                                                                                                                                                                                                                                                                                                              "
Incorrect deprecation comments in Platform class since they make the Javadoc confusing and the target milestone also needs to be updated,"According to the javaDoc in Platform.getResourceString(Bundle,String), this method has been deprecated and one should use the NLS class or the BundleFinder.find(). I was able to find the NLS class but I didn't find the BundleFinder class. Is the javaDoc correct? if it is a hint on where to find the BundleFinder class would help. The NLS class doesn't seem to provide me with the same functionality that Platform.getResourceString does, so I am assuming that BundleFinder would do the job that I need. Please provide me with more information on where to find the BundleFinder and improve the javaDoc.        I don't think that replacement functionality was ever implemented. Pascal, you added bunch of comments like that to the Platform ver. 1.92. As there are no current plans to act on them (and there has been no actions done in the last 2 years) I think we need to remove those comments - they make a rather confusing Javadoc. There are 21 \""XXX\"" comments that should be removed from Javadoc or acted upon.  Adding M7 as a milestone to remind to remove those comments.    (In reply to comment #1) &gt; I don't think that replacement functionality was ever implemented. The method Platform.getResourceString(Bundle,String) is not deprecated at this time; the comments should have been added to the implementation code or to a bug report, not to the Javadoc of the Platform class.     Please adjust the target milestone, so it does not point at a closed milestone in the past.      From bug 247983 other tagged methods: #NAME? #NAME? #NAME?   *** Bug 247983 has been marked as a duplicate of this bug. ***         Removed incorrect comments from the Platform class.    We collided, I just made the same changes.                    The only difference is that I moved the comments to InternalPlatform.                                              &gt; Pascal, you added bunch of comments like that to the Platform ver. 1.92. &gt; As there are no current plans to act on them (and there has been no actions done &gt; in the last 2 years) I think we need to remove those comments - they make a rather confusing Javadoc. &gt; There are 21 \""XXX\"" comments that should be removed from Javadoc or acted upon.                              So are you saying that the support for using getResourceString has just been droppped, and that no replacement will be available? that concerns me because WTP has a code that uses this method, and I am sure that there is plenty of adopters that are currently using that function as well. Also I deprecated Platform#endSplash since this has been replaced with IApplicationContext#applicationRunning().                                                                                                                                                                                                                                                                                                                                                                           "
the about:mozilla page is hardcoded to LTR in RC2 . Create a patch to complete all the localization work. The patch should be landed to mozilla-central before approval for 1.9.0.x,"the about:mozilla page in RC2 is right-aligned, but has LTR directionality instead of RTL. as a result, the dot at the end of the sentence is on the right side instead of the left, and both the parentheses around the \""10th edition\"" line are on the right side. i also think the quote source should be on the left side. perhaps the page should take CSS from intl.css, where localisers can override some of the classes or add a class to set direction.          Actually I would like not to add yet another entry in intl.css but to fix it in aboutMozilla.xhtml. Pike, can we think about it?    Same behavior also affect other internal about pages. * about:plugins pages that get RTL: * about:crashes the about:mozilla page used to be a file in the language pack, allowing the localizer to control it's look. moving this out of the language pack created this problem. the file dom/chrome/global.dtd control has direction control with the entity locale.dir. We can, actually, support RTL using something like &lt;body dir=&locale.dir;&gt;.     Created an attachment (id=324147) [details] patch Here is my patch. Tested on Hebrew locale. Please let me know if you prefer 'body{direction:&locale.dir;}' instead of the current '&lt;body dir=\""&locale.dir;\""&gt;'.  the W3C prefers markup and not CSS: http://www.w3.org/International/questions/qa-bidi-css-markup \""Because directionality is an integral part of the document structure, markup should be used to set the directionality for a document or chunk of information, or to identify places in the text where the Unicode bidirectional algorithm alone is insufficient to achieve desired directionality.\""    (In reply to comment #6) &gt; the W3C prefers markup and not CSS: Actually I'm not sure how we can do it using CSS. I have no idea if something like 'body{direction:&locale.dir;;}' is a valid.      To me, the trunk solution for this is to have a separate entity for each of those pages, to work around bugs like bug 427029. Once you localize a page we ship, you would then set the dir from ltr to rtl. That's not a solution for the 1.9 branch, though, there we should just re-use locale.dir from global.dtd. IMHO. Gavin, what do you think? (In reply to comment #8) In other words, isn't bug 427029 an edge case given the nature of about:robots and it's \""optional\"" status for localizers? Seems like we could just live with it not looking perfect for RTL locales that haven't localized it rather than adding complexity.    Well, that depends on how disciplined folks are. I'm adding another screenshot to bug 427029. Axel, Gavin - You are welcome to comment on that issue right there.   We are not far from 1.9.0.1 deadline. Please approve1.9.0.1. Thank you.       &gt; To me, the trunk solution for this is to have a separate entity for each of those pages, to work around bugs like bug 427029. We could make that call per page, like in the case of the robots page, it might make sense to have an open window for not translating it, for neterror pages probably less. There we could even get extreme and do it per div ;-).      Please get this landed on mozilla-central before getting approval for 1.9.0.x.       (From update of attachment 324147 [details]) Please re-request approval after getting this landed on mozilla-central. I'm not really sold on taking this given that it's more \""cosmetic\"" than anything else... http://hg.mozilla.org/index.cgi/mozilla-central/rev/d12488eef3f5                                     * about:robots - Has some open issues. See bug 427029 Pages that not translated, such as about:cache, about:credits and about:buildconfig should stay LTR.                         &gt; Once you localize a page we ship, you would then set the dir from ltr to rtl. &gt; That's not a solution for the 1.9 branch, though, there we should just re-use locale.dir from global.dtd. Sounds fine to me, I guess... do we really need to worry about the \""RTL locale that's falling back to en-US\"" though? Ideally we could just take this patch and not worry about having localizers update various different attributes based on localization state, and just rely on them completing all the localization work to make it look decent.                                                                                                                                                                                                                                                                                                                                                                     "
 AdapterManager.computeClassOrder Classimplementation does not match IAdapterManager JavaDoc and the specification of interface search order also needs to be fixed since it was observed that the superclasses take precedence over interfaces defined lower in the hierarchy,"Here is the JavaDoc for IAdapterManager.computeClassOrder(Class): Returns the class search order for a given class. The search order from a class with the definition class X extends Y implements A, B is as follows: - the target's class: X - X's superclasses in order to Object - a breadth-first traversal of the target class's interfaces in the order returned by getInterfaces (in the example, A and its superinterfaces then B and its superinterfaces) This comment is not perfectly clear. In particular, it does not complete the example by explicitly listing the exact order the example classes and interfaces are returned. I came up with a slightly richer example: interface A extends M, N interface B extends O class Y implements C, D class X extends Y implements A, B You are right on both counts. The implementation doesn't match the spec, and there is a contradiction in the spec itself. Now the question is what do we do about it. - For the contradiction, I think we should stick with the breadth-first search, and delete the parenthetic comment about the example (\""A and its superinterfaces then B and its superinterfaces\"") - For the spec not matching the behaviour, my instinct is to \""fix\"" the spec to match the implementation, to avoid the risk of breaking clients. It would be interesting to know what triggered the change in behavior. I guess the question is whether superclasses take precedence over interfaces defined lower in the hierarchy, i.e. does the implementation take precedence over the specification? I can see arguments for either way; but I guess I would probably come down on the side of giving specification precedence. So, I guess you argue further that all the interfaces could precede all the classes? It looks like this change was made inadvertently during a large batch of changes to add support for the adapters extension point (bug 32498). I think since this change was introduced accidentally, and this is a clear violation of a long-standing specification, I'm leaning towards fixing the implementation. Created an attachment (id=122293) [details] Fix v01     Created an attachment (id=122297) [details] Test case This is a test case using your richer example    Fix and tests released to HEAD.      Sounds reasonable. One tiny nit-pick though. The last entry in the bullet list now reads: a breadth-first traversal of each class's interfaces in the order returned by &lt;code&gt;getInterfaces&lt;/code&gt; (in the example, X and its superinterfaces then Y and its superinterfaces) &lt;/li&gt; It might be more accurate to say: a breadth-first traversal of each class's interfaces in the order returned by &lt;code&gt;getInterfaces&lt;/code&gt; (in the example, X's superinterfaces then Y's superinterfaces) Since X and Y are not actually included in the \""traversal\"". Thanks.  Good point, I have released this clarification to HEAD. Thanks again.                                                                    [The declarations for interfaces C, D, M, N, and O are trivial.] I noticed the spec also doesn't mention the interfaces of the target class' superclasses. I think the corrected spec should read: * &lt;ul&gt; * &lt;li&gt;the target's class: X      Argh...why did I even ask? :-) Anyway, I don't have any use cases at the moment to argue one way or the other. It's just that my curiosity got the better of me, after years of wondering, \""Just how does the Platform resolve which adapter to return?\"" :-)                     * &lt;li&gt;X's superclasses in order to &lt;code&gt;Object&lt;/code&gt; * &lt;li&gt;a breadth-first traversal of the target class's interfaces in the order returned by &lt;code&gt;getInterfaces&lt;/code&gt; (in the example, X and its superinterfaces then Y and its superinterfaces) &lt;/li&gt;        The order of classes and interfaces returned by AdapterManager.computeClassOrder(X) is: class X interface A interface B interface M interface N interface O class Y interface C interface D class java.lang.Object This conflicts with the JavaDoc. The class X is the first thing returned, but it is *not* followed by \""X's superclasses in order to Object\"". It is followed by a breadth-first list of X's interface hierarchy\"", *then* followed by X's superclass Y, which is then followed by a breadth-first list of Y's interface hierarchy; and so on, up to  java.lang.Object. Also, the JavaDoc has what reads to me as a contradiction: a breadth-first traversal of the target class's interfaces in the order returned by getInterfaces vs. in the example, A and its superinterfaces then B and its superinterfaces What actually happens *does* feel like a \""breadth-first\"" search; but that would not be accurately described as \""A and its superinterfaces then B and its superinterfaces\"". But maybe I'm reading it wrong.... It might be worth discussing which is the \""preferred\"" behavior: the behavior described by the JavaDoc or the behavior implemented in AdapterManager. In some ways having all the classes first, followed by the interfaces might make more sense than the current implementation.... But, then you have the whole \""backward-compatibility\"" thing to worry about.... This would be a very subtle change that could affect clients in unpredictable ways. On the other hand if there are really compelling reasons to change the implementation to match the spec, I'd be curious to hear them. I did some research and found that the implementation did match the spec until Febuary 20, 2004, when I change the implementation. At that time the spec wasn't part of the API. The spec was later added to the API (IAdapterManager#computeClassOrder) without checking that the implementation still matched. I'm going to do some more archeology to see if I can figure out why I changed the lookup order. * &lt;/ul&gt; Note that the comment changed to \""X and its superinterfaces then Y...\"" as opposed to \""A and its superinterfaces then B...\"". Thus this clarifies how the interfaces of superclasses are considered, while fixing the contradiction in the specification of interface search order.                                                                                                                                                                                                                                                                                                                                     "
Compare performance of multiple binary classification algorithms by running a sample application with multiple evaluation metrics. Also view the feature importance scores per the algorithm.Email me your feedback.,"This experiment uses 8 binary classification algorithms to train models against your data. It outputs the performance result of each algorithm such as Accuracy, AUC, for comparing the algorithms' performance.It also outputs the list of features sorted by their importance score for each model using the Permutation Feature Importance.The experiment has been published as a web service, and can be used through an application to evaluate the results of training your data using the experiment.To get started.Get a dataset with a column for binary classification ,Rename the column name to ""target"" , Upload the data and run the app ,View the results .Feel free to email me and let me know if you have any suggestions or comments about this app or the usefulness of this scenario in general."
"This experiment demonstrates the use of the Execute R Script, Feature Selection, Feature Hashing modules to train a text sentiment classification engine using Azure Machine learning studio.The data is trained using SVM model.","In this article, we'll explain how to to build an experiment for sentiment analysis using Microsoft Azure Machine Learning Studio. Sentiment analysis is a special case of text mining that is increasingly important in business intelligence and and social media analysis. For example, sentiment analysis of user reviews and tweets can help companies monitor public sentiment about their brands, or help consumers who want to identify opinion polarity before purchasing a product. This experiment demonstrates the use of the Feature Hashing, Execute R Script and Filter-Based Feature Selection modules to train a sentiment analysis engine. We use a data-driven machine learning approach instead of a lexicon-based approach, as the latter is known to have high precision but low coverage compared to an approach that learns from a corpus of annotated tweets. The hashing features are used to train a model using the Two-Class Support Vector Machine (SVM), and the trained model is used to predict the opinion polarity of unseen tweets. The output predictions can be aggregated over all the tweets containing a certain keyword, such as brand, celebrity, product, book names, etc in order to find out the overall sentiment around that keyword. The experiment is generic enough that you could use this framework to solve any text classification task given a reasonable amount of labeled training data."
This sample demonstrates how to perform cost-sensitive binary classification in Azure ML Studio to predict credit risk based on information given on a credit application.Two different datasets and models were used for training and evaluation,"This sample demonstrates how to perform cost-sensitive binary classification in Azure ML Studio to predict credit risk based on the information given on a credit application. The classification problem in this experiment is a cost-sensitive one because the cost of misclassifying the positive samples is five times the cost of misclassifying the negative samples.In this experiment, we compare two different approaches for generating models to solve this problem:Training using the original data set and Training using a replicated data set.In both approaches, we evaluate the models using the test data set with replication, to ensure that results are aligned with the cost function. We test two classifiers in both approaches: Two-Class Support Vector Machine and Two-Class Boosted Decision Tree."
Binary Classifier API is an example built with Microsoft Azure Machine Learning that fits a logistic regression model to data input by the user and then outputs the predicted value for each of the observations in the data,"Suppose you have a dataset and would like to predict a binary dependent variable based on the independent variables. Logistic Regression is a popular statistical technique used for such predictions. Here the   dependent variable is binary or dichotomous and 'p' is the probability of presence of the characteristic of interest.A simple scenario could be where the researcher is trying to predict whether the prospective student is likely to accept the admission offer to a university based on information (GPA in high school, family income, resident state, gender). The predicted outcome is the probability of a prospective student accepting their admission offer."
"This experiment uses the Heart Disease dataset (1988) from the UCI Machine Learning repository to train a model for heart disease prediction.This experiment is based on the original Heart Disease Prediction experiment created by Weehyong Tok from Microsoft, which is one of the Healthcare Industry solutions. This experiment uses the data set from the UCI Machine Learning repository to train and test a model for heart disease prediction. We will use this as a starting point to give you 7 ideas how to start and improve the Cortana Intelligence Gallery examples. Thanks Weehyong for creating and sharing your experiment!","The original database contains 76 attributes, but ML researchers tend to use a subset only containing 14 attributes. The ""goal"" field refers to the presence of heart disease in the patient (num). It is integer valued from 0 (no presence) to 4. With this experiment we will attempt to to distinguish presence (values 1,2,3,4) from absence (value 0).We used the processed Cleveland data, because of a warning from the author.In this case, we only miss 4 entries of ca (number of major vessels colored by flourosopy) and 2 entries of thal. In the original sample, all missing values were substituted with -1. But there are many more options. In this case, we decide to replace them with the mode (most occurring value). Replacing the missing values with the mean would be strange in this case, as thal is a categorical variable, and although I'm not a doctor, I think it would be hard to have 0.67 major vessel colored. This is actually also the reason why we use ca as a categorical variable.We use a stratified split to maintain a balanced training and test set read more on MSDN and set a seed so we can reproduce this experiment.As we have a lot of categorical variables, we decide to make dummy variables out of them. This can be easily done by using the ""Convert to Indicator Values"" module. It helps us to get more insights about the value of a specific categorical variable.We would suggest not to use the ""One-vs-All Multiclass"" module, as this creates a multiclass classification model from an ensemble of binary classification models. We are here dealing with a binary classification model, and not a multiclass classification model, so we don't see the added value.If you use the ""Tune Model Hyperparameters"" module to train your model, please make sure you use the ""Parameter Range"" option for the 'create trainer mode"" property.By using the ""Permutation Feature Importance"" module, you can gain insights. This module computes the permutation feature importance scores of the feature variables given a trained model and a test data set. From the left model, we can find that ""oldpeak"", ""sex"" and ""restecg"" have a relative high feature importance score.

A nice thing, as we have transformed the categorical values into dummies, is that we can actually gain more information by looking at the feature importance scores of the right model. Here we find also ""oldpeak"" with the highest score, second by cp-4, which means asymptomatic chest pain. This chest pain type variable didn't come up while just using the categorical variables as they were, so sometimes it can really help to transform them in order to gain more insight."
This sample demonstrates how to split the data set using external data; it also demonstrate how to perform binary classification to detect breast cancer using two-class boosted decision tree and compute customized performance metric.,"This sample demonstrates how to train binary classifier to detect breast cancer using Azure ML Studio. The data is from KDD Cup 2008 challenge. In this experiment, we focus on the problem of early detection of breast cancer from X-ray images of the breast. The performance metric in this experiment is the area under the ROC curve where probability of false positive is between 0.2 and 0.3.The Breast Cancer Info data set contains some meta data about the data set. Specifically, it contains 102,294 rows and 11 columns. We use the first 11 columns of this data set, including 1)label; 2)image-finding-id; 3)study-finding-id; 4)image-id; 5)patient-id; 6)leftbreast; 7)MLO; 8)x-location; 9)y-location; 10)x-nipple-location; and 11)y-nipple-location.Basically, this data set contains the label and many ID information for each examination: image-finding-id, study-finding-id, image-id, and patient-id.The Breast Cancer Features data set has 102,294 rows and 118 columns. It contains the features for each patient.There is a one-to-one correspondence relationship between each row of two data sets. In our experiment, we use the label and ID information in Breast Cancer Info data set to split the Breast Cancer Features data set into training and test data sets.First of all, we select the first 11 columns of the Breast Cancer Info data set by using the Project Columns module and then assign column names for these selected columns by using the Metadata Editor module. Then we split this data set into positive and negative subsets by using the Split module. Note that the splitting is based on patent ID, thus we use Remove Duplicate Rows to remain only one row for each patient ID. Then we further split the positive and negative patient ID's into training and test subsets by using the Split module. The following image shows the workflow of the preprocessing of the Breast Cancer Info data set.Since there is a one-to-one correspondence relationship between the Breast Cancer Info data set and the Breast Cancer Features data, we can use the Add Columns module to combine these two data sets together. After splitting based on patient ID in the Breast Cancer Info data set, we can map the splitting back the Breast Cancer Features data set by using the Join module. Therefore, we obtain the following 4 subsets:Positive training examples, Positive test examples, Negative training examples and Negative test examples.By using the Add Rows module, we can get the training data set by combining the positive training examples with the negative training examples. Similarly, we can get the test data set.Notice that this data set is an imbalanced data set: the number of positive samples is significantly less than the number of negative samples. In classification, we are more interested in correctly classifying positive samples. In order to increase the weight of positive samples, we replicate the positive samples for 93 times.In this experiment, we apply Two-Class Boosted Decision Tree. In this experiment, 4 different training data sets are used to train 4 different models:Original training data set.Replicating the positive sample for 93 times in the original training data set.Adding features created by quantizing the patient id feature in the original data set.After adding features created by quantizing the patient id feature in the original data set, the positive samples are replicated for 93 times.
We initialize the learning algorithm using the Two-Class Boosted Decision Tree module and then use the Train Model module to create the actual model. These models are used by the Score Model module to produce scores of test examples. Since 4 different predictions on the test data set are generated by 4 different models, we use Add Columns to combine these predictions together. The following image shows the workflow of the model training and scoring. It can be observed that the best performance is achieved by replicating positive samples and quantizing patient ID.
"
The experiment aims to build some predictive models which help to predict Malignant & Benign cases of Breast tumors.The entire process of Machine learning pipeline is briefly described.,"Machine Learning, these days playing a pivotal role in Healthcare Analytics. Early prognosis of diseases specifically cancer finds ray of hope of getting cured of. The data on Breast Cancer was collected from an online source. The data was was understood from various aspects doing some visualization & other Statistical analysis. After that Data Wrangling was done to prepare the data set for final analysis & finally applied SVM of Azure ML Studio & received desired outcome"
Customers dataset with and without categorization was used and two different sets of modelling techniques were carried out,"Consumer Lending Segment is very complex exercise for banks so they often offload to create profiling of different customers to different service provider and use their credit ratings of individuals to disbursement of loans.In this model we have extensive data of different customers from age to marital status to education to employment and so on . This model compares two different sets of modelling, one set select variables with out any categorization and one have categorization, followed by variables whom we think would matter most.It clearly shows the amount and spread of data determines the outcome of the model rather than what we think, what matter most. Suggestion are most welcome to prune it further and make it more useful to community.One more thing, reference of this data is from the internet itself."
Sample experiment that shows how to compare performance of multiple learning algorithms.,"We use 'Adult Census Income' dataset, with 'income' being a label column. This column indicated whether person's income exceeds $50K/yr. The dataset is prepopulated in your workspace and is originally downloaded from UCI Repository.We replace all missing values with ""0"" using Missing Value Scrubber module. Initially we use Split module to randomly split the dataset into training and test sets.We compare 4 binary classifiers: Two-Class Averaged Perceptron, Two-Class Bayes Point Machine, Two-Class Decision Jungle and Two-Class Locally-Deep Support Vector Machine. The comparison is done by performing the following steps:3-fold cross-validation over the training set, finding the best hyperparameters of each learning algorithm, training each learning algorithm over the training set using previously found algorithm's best values of hyperparameters ,scoring the test set,computing accuracy over the test set.The first three steps are done by Sweep Parameters module. By default Sweep Parameters module in cross-validation mode partitions the training set into 10-folds. To change the number of folds we use Partition and Sample module with the following parameters.We connect partitioned training set to 'training dataset' input of Sweep Parameters. Since we use Sweep Parameters in cross-validation mode, we leave module's right output unconnected. We use default values of Sweep Parameters that find the hyperparameters that optimize accuracy.The fourth and fifth steps in the above list are done by Score Model and Evaluate Model respectively. Evaluate Model computes many metrics. We extract Accuracy metric using Project Column module. Finally, we use Add Rows and Execute R Script to combine results of all learners into a single column and to add a column with the names of the algorithms. R code that is used in Execute R is given below: dataset <- maml.mapInputPort(1) Algorithm <- c(""Averaged Perceptron"",""Bayes Point Machine"", ""Decision Jungle"", ""Locally-Deep SVM"") data.set <- cbind(Algorithm, dataset) maml.mapOutputPort(""data.set"")"
Ensembled Prediction Model for Diagnosing Malignant and Benign cells and Ensembled Prediction Model to classify Recurrence / Nonrecurrence,"Prediction Model for Diagnosis (Malignant / Benign) Target: Diagnosis Predictors: Nuclear features of Breast Tumour mass Algorithms: Boosted Decision Tree, Decision Jungle, Locally-Deep SVM.Prediction Model for Recurrence (Recurrence / Nonrecurrence) Target: Outcome Predictors: Nuclear features of Breast Tumour mass, Tumour size Algorithms: Boosted Decision Tree, Decision Forest, Decision Jungle, Locally-Deep SVM"
This is a binary classification problem where we need to identify which customers who will make a specific transaction in the future.,"This is a binary classification problem where we need to identify which customers will make a specific transaction in the future, irrespective of the amount of money transacted. The data provided here is an anonymized dataset containing numeric feature variables, the binary target column, and a string ID_code column.
The task is to predict the value of target column in the test set.
"
"Driven by the SMLets Exchange Connector, this experiment will define Incident/Service Request, Classification, and Support Group for New Work Items in System Center Service Manager.","This experiment (1 of 2) is taken directly from the following Machine Learning Gallery Project leveraging a sample, but modified dataset from Microsoft/Endava seen here on GitHub in order to build a machine learning classification engine that can be consumed as a Rest API for the SMLets Exchange Connector.The SMLets Exchange Connector is an open source PowerShell based alternative to the stock Exchange Connector provided by Microsoft for System Center Service Manager that is used to parse an Exchange inbox and create or update Work Items in SCSM.
To configure these AML experiments for your Service Manager deployment, a full walkthrough on the project's Github can be found here."
The goal of this experiment is to classify the IMDB reviews dataset as positive or negative.Multiple predictive models were used for the problem out of which logistic regression performed better than the others.,"This experiment Extract N-Gram Features from the text and used the features to predict the sentiment of the reviews. The features are used to train multiple models .Two-Class Logistic Regression,Two-Class Neural Network (1 Hidden Layer with 2x2500 nodes - Cost Function: tanh), Two-Class Boosted Decision Tree ,Two-Class Locally-Deep Support Vector Machine,Two-Class Decision Forest.After running the experiment, you can see that Two-Class Logistic Regression has a higher accuracy and relatively lower training time than the other models."
Experiment to get inputs for Prescriptive Analytics on Consumer complaints for financial products.,"Two Class Boosted Decision Tree wins over Two Class Logistics Regression with AUC as 0.876 over 0.872. The web service derived from Azure ML could be integrated with Complaint logging system so that support executive could get the probability of whether the issue would be “Closed with monetary relief”. If yes, the company could take that issue as critical and start with balance maintenance and aim for non-monetary issue resolution.This model could be used in number of financial usecases which involves classification problem types."
The model used in this experiment  predicts whether  a customer has a probability to be put into default into payment based on customer data and payment history.This model can be used in Risk management related use cases,"This research aimed at the case of customers default payments in Taiwan and compares the predictive accuracy of probability of default among six data mining methods. From the perspective of risk management, the result of predictive accuracy of the estimated probability of default will be more valuable than the binary result of classification - credible or not credible clients. Because the real probability of default is unknown, this study presented the novel Sorting Smoothing Method to estimate the real probability of default. With the real probability of default as the response variable (Y), and the predictive probability of default as the independent variable (X), the simple linear regression result (Y = A + BX) shows that the forecasting model produced by artificial neural network has the highest coefficient of determination; its regression intercept (A) is close to zero, and regression coefficient (B) to one. Therefore, among the six data mining techniques, artificial neural network is the only one that can accurately estimate the real probability of default.This experiment also tried to compare the performance of Two-Class Neural Network model versus the Two-Class Bayes Point model in terms of predicting the risk of customer going into payment default.All data used in this experiment came from the University of California Irvine research team. "
